id,domain,difficulty,preview,contentVersion,ScenarioBucket
0nrH34nOirSHuAb843ap,Business Environment,Medium,A project team is facing resistance from stakeholders who are concerned about environmental impacts. What should the project manager prioritize?,,Stakeholder Politics
5bfpvs428mhWKaqfPknl,Business Environment,Medium,"During a project, the project manager discovers a new government regulation affecting the project's feasibility. What should be the first step taken?",,Governance
cp944yLfHl58rXE2QfQc,Business Environment,Medium,"While managing a project, you learn about a potential competitor entering the market that could diminish project value. What is the best immediate action?",,Risk
DiQ4Qp7M83ICU8PSNsEb,Business Environment,Hard,"While managing a project subject to international trade regulations, the project manager learns about an upcoming trade agreement that could benefit the project. What is the best strategic move for the project manager?",,Value
fGk8SvV7dvBHJaPjKH3W,Business Environment,Hard,"A large multinational corporation plans to expand its operations into a new country. After research, the project manager discovers significant cultural differences that could affect team dynamics. What should be the project manager’s priority?",,Stakeholder Politics
hcbBDPr2M7gouXflHsB8,Business Environment,Medium,A project is affected by a sudden economic downturn resulting in budget cuts. What should the project manager do first?,,Risk
kw0EFk38OBPUvISRJ8c1,Business Environment,Hard,"During the execution phase of a renewable energy project, new legislation is passed that restricts certain materials. What is the immediate course of action for the project manager?",,Risk
XWNCo7p225AVVrj2S6Y6,Business Environment,Easy,A project manager is tasked with understanding external factors that influence the project. What should they prioritize in the business environment analysis?,,Value
0H9rNVM7fHrq3phHCAuG,People,Medium,"During a team discussion, you notice that one member feels undervalued despite their contributions. How should you respond?",,Stakeholder Politics
0luv1rjykbMrHfCJSgKE,People,Medium,"You notice a key team member is consistently late in delivering their work, impacting the project's timeline. What is the best first step to address this issue?",,Stakeholder Politics
0yUxDnZMNwEipVLQi7HU,People,Hard,"Your project team is struggling with unclear roles and responsibilities, leading to duplicated efforts and frustration. How should you effectively clarify roles within the team?",,Multi-Team
2T0LhDBsqVgr1b2srx5U,People,Medium,"While evaluating team performance, you realize that one member consistently meets their targets but lacks collaboration with others. What should be your first step in addressing this?",,Multi-Team
2wgY6fbavYNobXlfsflO,People,Medium,"You are leading a project with a diverse team, and cultural misunderstandings are causing issues. What is an effective step to take?",,Multi-Team
3ZXLyxnz7ETmnKKVccoJ,People,Medium,"Your project team is going through a stressful phase, and one member frequently expresses frustration. How should you respond to maintain a positive team environment?",,Multi-Team
aTVM6fz8jcSrmzdqGOcG,People,Medium,"Your project requires collaboration between multiple departments, but there is a lack of communication. What should you prioritize to improve this?",,Multi-Team
BEx3Ri71mKw4R9LyaU4d,People,Hard,You are managing a project with a team composed of individuals from various cultural backgrounds. Issues arise due to differing communication styles which lead to misunderstandings. What is the best way to address this situation?,,Multi-Team
bgcgDFfaBYAgbUZvUt5s,People,Hard,"A team member consistently performs well within their role but is perceived as unapproachable, leading to a lack of effective collaboration. What should you do first to encourage better teamwork?",,Stakeholder Politics
blYkoUgBRXoC7r2O4L07,People,Hard,"You are managing a project that requires cross-functional collaboration, but team members from different departments are hesitant to work together. What is your best approach to foster collaboration?",,Multi-Team
Btb920tsyOK2UVemC734,People,Hard,"During a critical project phase, two senior team members are in a deep conflict that is affecting team morale and progress. Despite efforts, the conflict is unresolved. What should your first step be to mitigate this situation?",,Stakeholder Politics
CoIJHJ4Xkpt37QjZ7wzC,People,Hard,"A project team is experiencing high levels of stress leading to burnout. As a project manager, what is your best strategy to alleviate this situation?",,Multi-Team
Cwf3veSKBZPk8KircT96,People,Easy,"During a team meeting, a new member seems hesitant to share their ideas. What is the best action to encourage participation?",,Multi-Team
EDWroIoJW0ExlW3ZkO0G,People,Medium,"Midway through a two-year infrastructure program, the PM notices that several experienced team members are completing assignments competently but show little initiative beyond their defined tasks. They attend meetings but rarely contribute ideas. One...",1.16.1-EC113,Multi-Team
gOGdB73vlEG5NzSPnT83,People,Hard,"During a project review, you notice that some team members are not fully engaged, leading to a lack of productive feedback. What is the best approach to enhance participation?",,Multi-Team
hwRJUWqJU5G60Ihs921i,People,Hard,"After two consecutive sprints plagued by scope changes, a production outage, and a rejected deliverable from the client, your seven-person team is visibly disengaged. Stand-up attendance has dropped, voluntary overtime has vanished, and the team's mo...",1.16.1-EC113,Multi-Team
IFZz0QL2LUy2EtsNNicO,People,Medium,"During a project team meeting, conflict arises between two team members over resource allocation. As the project manager, how should you address this situation?",,Stakeholder Politics
iPDfTuvzkALzAF6IcSkg,People,Hard,A new team member is not engaging with the team and often works in isolation. What is the most effective action to encourage their integration?,,Multi-Team
